"Date_reported","Australia","Brazil","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Netherlands","Norway","Philippines","Saudi Arabia","Singapore","South Korea","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-06-19",41,,,,,,,,,,,,,,,,,,,68
"2020-06-20",,,,,,22
"2020-06-21",,,,,,,,,,,,,,,,,,,,,,41
"2020-06-22",,,,61,,,,,57,,83,,,86,,,,83,,,,,,52,69,,,55,77
"2020-06-23",,,,,,,,,,,,52
"2020-06-24",,,,50,36,,51,,,,,,,,,,,,,,,58
"2020-06-25",,,,,,25,,33,,53,84,52,,,,31,,,64,,,44,46,52,,60,45,,78
"2020-06-26",40,,53,,,,,,,,,,,80,51,,,80,,,,,,,58
"2020-06-29",,70,,,,,,,,,,,,,,,,,,,72
"2020-07-01",,,,,,,48
"2020-07-02",,,,,,,,36
"2020-07-03",45,,,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-07-05",,,,,,,,,,,,,,,,,,,,,,,,,,64
"2020-07-06",,,,57,,,,,54,,84,,,86,,,,82,,,,,,52,65,,,58,76
"2020-07-07",,,54,,,,,,,,,56,,,,,,,,69
"2020-07-08",,,,,39,,,,,,,52,,,,,,83
"2020-07-09",45,,,,,,48,35,,50,,,,,,,,,,,,44,,,,,,,77
"2020-07-10",,,,,,,,,,,80,,,80,,,,,,65,,,,,59
"2020-07-11",,,,,,24
"2020-07-12",,,,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-07-13",,,,,,,,,,,,,,,,,,,69,,,,,,,65
"2020-07-14",,,,,,,,,,,,58,,,,,,,,,,,,,,,,58
"2020-07-16",,,,,,,56,35,,,,,,,,,,,,,,43
"2020-07-20",,,,56,,,,,,,83,,,83,,,,78,,69,,,,51,70,,,58,75
"2020-07-21",,,55,,,,,,66,,,59,,,,,,,,,,,,,,61
"2020-07-22",,,,,,,56
"2020-07-23",,,,,,,,,,64,,,,,,,,,,,,44
"2020-07-26",,,,,,,,,,,,,,,,,,,,,,,,,,,44
"2020-07-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"2020-07-28",,,,,,,,,,,,61
"2020-07-29",,,,,,,,,,,,,,,,,,,67,,,,,,,62
"2020-07-30",,,,,,,,40,,,,,,,,,,,,,,45
"2020-07-31",,,,,,,,,,,,,,,,,,,,,,,,,,,49
"2020-08-02",52,,,,,,,,,59
"2020-08-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,57
